Latitude,Longitude,Census_Tract,Value
38.6856815,-120.9574313,6017030803,0.6
38.6377284,-120.937104,6017030804,1.2
38.662649,-121.012167,6017030807,1.7
38.67665,-121.0086199,6017030808,0.9
38.6628212,-120.984193,6017030809,0.9
38.6862022,-120.9937862,6017030810,0.7
38.7788639,-120.9351333,6017030901,0.0
38.7186274,-120.8954226,6017030902,0.0
38.7517688,-120.8454,6017031000,0.5
38.7557046,-120.7656707,6017031100,1.1
38.7183318,-120.7839884,6017031200,1.2
38.7487648,-120.6900981,6017031301,0.8
38.7682537,-120.5987224,6017031302,0.0
38.6035985,-120.5343814,6017031402,0.0
38.6909824,-120.7055174,6017031404,0.0
38.7330245,-120.6258013,6017031405,0.0
38.707909,-120.5909221,6017031406,0.0
38.6943173,-120.8221616,6017031502,0.9
38.5855876,-120.8721231,6017031503,1.2
38.6568603,-120.7951028,6017031504,2.3
38.6989223,-121.0951787,6017031700,0.2
38.6670529,-121.0483699,6017031800,0.0
38.7295194,-120.2657696,6017031900,0.0
36.7369244,-119.7927732,6019000100,9.8
36.7354914,-119.8055044,6019000200,20.0
36.726462,-119.8010347,6019000300,14.2
36.7276563,-119.7762091,6019000400,14.3
36.7426787,-119.774839,6019000501,28.8
36.7444057,-119.781537,6019000502,12.8
36.743063,-119.7933565,6019000600,20.7
36.7345353,-119.8277069,6019000700,15.7
36.7067181,-119.831179,6019000800,10.5
36.7104697,-119.804301,6019000901,9.5
36.717769,-119.8042772,6019000902,22.8
